make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date
Toyota Camry,2017 г.,$ 15 200,автомат,белый,седан,2.5,бензин,руль слева,108 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe0abcd4176432796166,09_11_2023
Honda Civic,2004 г.,$ 4 981,автомат,золотистый,седан,1.6,бензин,руль слева,275 000 км,Бишкек,https://www.mashina.kg/details/honda-civic-64fe05a8b1eb9675095096,09_11_2023
Kia Sportage,2017 г.,$ 18 399,автомат,белый,внедорожник 5 дв.,2,дизель,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fea409e5ea1416456853,09_11_2023
BMW 5 серии,2009 г.,$ 15 000,автомат,белый,седан,2.5,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-64fea3fc505e1232540522,09_11_2023
Nissan Bluebird Sylphy,2003 г.,$ 3 962,автомат,золотистый,седан,1.5,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/nissan-bluebird-sylphy-64fea3f00313f835497811,09_11_2023
Toyota Sequoia,2003 г.,$ 19 900,автомат,серебристый,внедорожник 5 дв.,4.7,бензин,руль слева,161 100 км,Бишкек,https://www.mashina.kg/details/toyota-sequoia-64fea2ff4e2c7155594979,09_11_2023
Honda Accord,2004 г.,$ 8 800,автомат,серый,седан,2,бензин,руль справа,350 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fea2d9d5528331397155,09_11_2023
Mazda Demio,2004 г.,$ 5 700,автомат,бирюзовый,хэтчбек 5 дв.,1.3,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/mazda-demio-64fea26a96391086782225,09_11_2023
Subaru Forester,2007 г.,$ 8 000,автомат,хамелеон,универсал,2,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fd517d1f137353505185,09_11_2023
Toyota Camry (Japan),2005 г.,$ 12 000,автомат,белый,седан,2.4,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-japan-64fdf72039c64439685336,09_11_2023
Hyundai Sonata,2020 г.,$ 15 500,автомат,белый,седан,2,газ,руль слева,,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fea0a1cc934135806299,09_11_2023
Toyota Camry,2007 г.,$ 11 000,вариатор,серебристый,седан,2.4,гибрид,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fea009bb2f1918913616,09_11_2023
Mazda 6,2007 г.,$ 6 500,автомат,черный,седан,2.3,бензин,руль слева,175 000 км,Бишкек,https://www.mashina.kg/details/mazda-6-64fd81d5bf41c667180720,09_11_2023
Kia Optima,2017 г.,$ 14 500,автомат,синий,седан,2.4,бензин,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/kia-optima-64fe9fcc35e14289341463,09_11_2023
Toyota Corolla,2017 г.,$ 15 600,вариатор,черный,седан,1.8,бензин,руль слева,85 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-64fd6be36ee1a629788850,09_11_2023
Kia K5 II Седан,2018 г.,$ 16 700,автомат,белый,седан,2,газ,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fd6a2539b64626311471,09_11_2023
Kia K5 II Седан,2018 г.,$ 16 000,автомат,белый,седан,2,газ,руль слева,146 077 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fe9ee4323d3138269318,09_11_2023
Honda Stepwgn,2003 г.,$ 12 500,автомат,серебристый,минивэн,2,бензин,руль справа,191 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64fd8144b72fe454992085,09_11_2023
Toyota Camry,2008 г.,$ 10 300,автомат,черный,седан,2.4,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe9e9d87bc0006814417,09_11_2023
Subaru Forester,2017 г.,$ 14 800,вариатор,черный,внедорожник 5 дв.,2.5,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fd7fc11e3f6612810337,09_11_2023
Toyota Camry,2004 г.,$ 10 800,автомат,черный,седан,3,бензин,руль слева,257 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe9e36a98aa590584583,09_11_2023
Honda CR-V,2003 г.,$ 8 000,автомат,черный,внедорожник 5 дв.,2,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fe9d933686d239677610,09_11_2023
Ford Focus (North America),2009 г.,$ 8 700,автомат,синий,седан,2,бензин,руль слева,196 000 км,Бишкек,https://www.mashina.kg/details/ford-focus-north-america-64fe0a53d3231135208947,09_11_2023
Honda Inspire,2003 г.,$ 8 200,автомат,черный,седан,3,бензин,руль справа,195 000 км,Бишкек,https://www.mashina.kg/details/honda-inspire-64feb82407b93385747530,09_11_2023
Hyundai Sonata,2017 г.,$ 13 000,автомат,серебристый,седан,2,газ,руль слева,255 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64feb6bd8bb87451791037,09_11_2023
Subaru Forester,2019 г.,$ 15 000,вариатор,вишня,внедорожник 5 дв.,2.5,бензин,руль слева,22 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64feb64180799011014923,09_11_2023
Mazda 5,2007 г.,$ 6 000,механика,красный,компактвэн,1.8,бензин,руль слева,209 000 км,Бишкек,https://www.mashina.kg/details/mazda-5-64feb5e11d9c4334538173,09_11_2023
Toyota Prius c,2017 г.,$ 12 500,автомат,черный,хэтчбек 5 дв.,1.5,гибрид,руль слева,9 800 км,Бишкек,https://www.mashina.kg/details/toyota-prius-c-64feb55786705794415385,09_11_2023
Honda CR-V,2005 г.,$ 12 000,автомат,черный,внедорожник 5 дв.,2,бензин,руль слева,198 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64feb52dd69ba494486701,09_11_2023
Toyota Alphard,2008 г.,$ 15 500,автомат,черный,минивэн,3,бензин,руль справа,135 899 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fdd7b4b85c0728554275,09_11_2023
Subaru Outback,2010 г.,$ 12 900,вариатор,серебристый,универсал,2.5,бензин,руль слева,210 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64feb4d3abdb9882531225,09_11_2023
Toyota Camry,2017 г.,$ 19 000,автомат,белый,седан,2.5,бензин,руль слева,77 250 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64feb4a77ab0d921859927,09_11_2023
BMW 5 серии,2008 г.,$ 12 700,автомат,серебристый,седан,3,бензин,руль слева,215 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-64feb49e03fb4631820044,09_11_2023
Ford Mondeo,2004 г.,$ 3 792,автомат,золотистый,лифтбек,2.5,бензин,руль слева,285 900 км,Бишкек,https://www.mashina.kg/details/ford-mondeo-64feb44180559043171179,09_11_2023
Lexus RX,2005 г.,$ 12 500,автомат,серебристый,внедорожник 5 дв.,3,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fdadbdae688969230333,09_11_2023
Hyundai Sonata,2019 г.,$ 19 500,автомат,белый,седан,2,бензин / газ,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64feb3e06c441910122880,09_11_2023
Honda Fit,2005 г.,$ 5 999,вариатор,бирюзовый,хэтчбек 5 дв.,1.3,бензин,руль справа,310 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64feb3b97b233754168911,09_11_2023
Toyota Alphard,2005 г.,$ 13 600,автомат,белый,минивэн,3,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64feb3aba5729544724435,09_11_2023
FAW Bestune NAT,2022 г.,$ 18 000,,белый,минивэн,автомат,электро,руль слева,300 км,Бишкек,https://www.mashina.kg/details/faw-bestune-nat-64feb3769c0ab630147234,09_11_2023
Chevrolet Lacetti,2006 г.,$ 4 302,механика,красный,седан,1.6,бензин,руль слева,185 977 км,Бишкек,https://www.mashina.kg/details/chevrolet-lacetti-64feb362bc818148471296,09_11_2023
Mazda Demio,2003 г.,$ 6 500,автомат,оранжевый,хэтчбек 5 дв.,1.5,бензин,руль справа,193 000 км,Бишкек,https://www.mashina.kg/details/mazda-demio-64fd8e1cefa7f193906606,09_11_2023
Toyota Camry,2012 г.,$ 13 500,автомат,серый,седан,2.5,бензин,руль слева,125 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64feb2f0b0032901840098,09_11_2023
Honda Accord,2003 г.,$ 10 500,автомат,синий,седан,2.4,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fee5966fe16658522982,09_11_2023
Toyota Prius,2015 г.,$ 13 000,автомат,черный,хэтчбек 5 дв.,1.8,гибрид,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fee584643f8418216184,09_11_2023
Honda CR-V,2008 г.,$ 15 300,автомат,серый,внедорожник 5 дв.,2.4,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fee50e4e076063141674,09_11_2023
ВАЗ (Lada) 2107,2011 г.,$ 3 396,механика,белый,седан,1.6,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/vaz-lada-2107-64fee4fbbedae184282640,09_11_2023
Honda Fit,2003 г.,$ 6 000,вариатор,серебристый,хэтчбек 5 дв.,1.3,бензин,руль справа,295 285 км,Бишкек,https://www.mashina.kg/details/honda-fit-64feadfd34b26198036259,09_11_2023
Toyota Camry,2013 г.,$ 15 000,автомат,черный,седан,2.5,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fee2e3a115b893902983,09_11_2023
Kia K5 II Седан,2018 г.,$ 18 000,автомат,черный,седан,2,бензин,руль слева,156 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fece6fc2661346459640,09_11_2023
Toyota Camry,2014 г.,$ 16 000,вариатор,серебристый,седан,2.5,гибрид,руль слева,175 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fee2b9d5b1f592287152,09_11_2023
Kia K7,2018 г.,$ 14 700,автомат,белый,седан,3,газ,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fee1bf53dd0514881526,09_11_2023
Kia Sportage,2017 г.,$ 17 700,робот,синий,внедорожник 5 дв.,1.7,дизель,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fee154623fb985226707,09_11_2023
Toyota Ist,2004 г.,$ 8 800,автомат,серый,хэтчбек 5 дв.,1.5,бензин,руль справа,91 425 км,Бишкек,https://www.mashina.kg/details/toyota-ist-64fee0e944e9f756855243,09_11_2023
Honda Fit,2004 г.,$ 7 300,вариатор,синий,хэтчбек 5 дв.,1.3,бензин,руль справа,190 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64feb5636dd8d955992678,09_11_2023
Toyota Mark X,2004 г.,$ 7 700,автомат,серебристый,седан,2.5,бензин,руль справа,225 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-64fdc5ae9d3a1796251334,09_11_2023
Lexus GS,2008 г.,$ 14 000,вариатор,черный,седан,3.5,гибрид,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-64fedebdc11ff943721055,09_11_2023
Lexus RX,2003 г.,$ 13 900,автомат,серый,внедорожник 5 дв.,3.3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fdcc617c85b975858157,09_11_2023
Lexus RX,2004 г.,$ 13 500,автомат,бежевый,внедорожник 5 дв.,3.3,бензин,руль слева,203 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fdc27f303e4318852770,09_11_2023
Toyota Prius,2016 г.,$ 16 700,вариатор,серебристый,лифтбек,1.8,гибрид,руль слева,157 238 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fd9f5d7158f088115223,09_11_2023
Kia K5 II Седан,2018 г.,$ 14 000,автомат,белый,седан,2,газ,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fe830b7516f230305830,09_11_2023
Toyota Crown,2006 г.,$ 10 700,автомат,белый,седан,3.5,бензин,руль справа,189 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-64fedd4365ade674365654,09_11_2023
Toyota Platz,2004 г.,$ 3 566,автомат,белый,седан,1,бензин,руль справа,225 552 км,Бишкек,https://www.mashina.kg/details/toyota-platz-64fd53ba919a1727577646,09_11_2023
Kia Carens,2018 г.,$ 14 800,автомат,серый,компактвэн,2,бензин,руль слева,84 000 км,Бишкек,https://www.mashina.kg/details/kia-carens-64fdc72847929408686221,09_11_2023
Toyota Crown,2008 г.,$ 14 500,автомат,серый,седан,3.5,бензин,руль справа,130 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-64fdc6be0d031418081333,09_11_2023
Toyota Camry,2004 г.,$ 10 500,механика,бежевый,седан,2.4,бензин,руль слева,351 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fda159d66ab451223333,09_11_2023
Toyota Vellfire,2008 г.,$ 14 500,вариатор,черный,минивэн,2.4,бензин,руль справа,128 000 км,Бишкек,https://www.mashina.kg/details/toyota-vellfire-64fdc6540651c451104938,09_11_2023
Hyundai Sonata,2017 г.,$ 14 100,автомат,черный,седан,2,гибрид,руль слева,105 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdc618c99bc536673255,09_11_2023
Subaru Crosstrek,2019 г.,$ 16 800,вариатор,черный,внедорожник 5 дв.,2,бензин,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/subaru-crosstrek-64fdc56dae4cb528467098,09_11_2023
Lexus GS,2006 г.,$ 9 300,автомат,серебристый,седан,3,бензин,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-64fdc535691f4805307454,09_11_2023
Honda Accord,2003 г.,$ 8 600,автомат,серый,седан,2.4,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fdc519ae7fd357253475,09_11_2023
Hyundai Tucson,2018 г.,$ 18 300,робот,белый,внедорожник 5 дв.,1.7,дизель,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/hyundai-tucson-64fdc4ba8041b240983877,09_11_2023
Subaru Impreza,2016 г.,$ 12 200,вариатор,серый,хэтчбек 5 дв.,2,бензин,руль слева,187 000 км,Бишкек,https://www.mashina.kg/details/subaru-impreza-64fd8122371b3830122511,09_11_2023
Subaru Legacy,2005 г.,$ 7 300,автомат,белый,седан,2,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64fdc3964c59a484415644,09_11_2023
Toyota Corolla,2011 г.,$ 5 660,механика,серый,седан,1.6,бензин,руль слева,248 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-64fdc2d9aa410311081663,09_11_2023
Kia K5 II Седан,2016 г.,$ 13 000,автомат,белый,седан,2,газ,руль слева,138 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fdbfd6c241d770983505,09_11_2023
Hyundai Sonata,2017 г.,$ 15 200,автомат,зеленый,седан,2.4,бензин,руль слева,61 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdc245c8c1f784786478,09_11_2023
Honda Edix,2004 г.,$ 7 100,автомат,черный,компактвэн,1.7,бензин,руль справа,262 602 км,Бишкек,https://www.mashina.kg/details/honda-edix-64fdc2045caed753998236,09_11_2023
Mercedes-Benz G-класс AMG,2003 г.,$ 16 900,автомат,черный,внедорожник 5 дв.,5.4,бензин,руль слева,378 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-g-klass-amg-64fce496e3336429555738,09_11_2023
Toyota Mark X,2005 г.,$ 7 600,автомат,белый,седан,2.5,бензин,руль слева,199 500 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-64fdc0aabdfa3082432321,09_11_2023
Kia K5 II Седан,2019 г.,$ 15 900,автомат,хамелеон,седан,2,газ,руль слева,215 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fdbeec47d90592775228,09_11_2023
Lexus GS,2005 г.,$ 12 000,автомат,синий,седан,3,бензин,руль слева,192 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-64fdbe48580e4923691844,09_11_2023
Toyota Crown,2006 г.,$ 8 100,автомат,черный,седан,3.5,бензин,руль справа,270 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-64fdbdb901589085598151,09_11_2023
Hyundai Grandeur,2019 г.,$ 14 200,автомат,черный,седан,3,газ,руль слева,114 000 км,Бишкек,https://www.mashina.kg/details/hyundai-grandeur-64fdf0ea92651276455262,09_11_2023
Kia K5 II Седан,2016 г.,$ 13 000,автомат,черный,седан,2,газ,руль слева,247 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fdf010c8305461594080,09_11_2023
Hyundai Sonata,2017 г.,$ 14 500,автомат,белый,седан,2,газ,руль слева,162 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdee532be64464991055,09_11_2023
Toyota Avensis,2004 г.,$ 7 000,автомат,серебристый,лифтбек,1.8,бензин,руль справа,120 000 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-64fdede9232e3861172394,09_11_2023
Toyota Crown,2008 г.,$ 13 000,автомат,серебристый,седан,3.5,бензин,руль справа,156 241 км,Бишкек,https://www.mashina.kg/details/toyota-crown-64fdeda245b67339451705,09_11_2023
Kia K5 II Седан,2017 г.,$ 15 500,автомат,черный,седан,2,газ,руль слева,186 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fdecf4caf4d402392911,09_11_2023
Toyota Alphard,2011 г.,$ 17 600,автомат,белый,минивэн,3.5,бензин,руль справа,128 200 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fdec94d432a073540307,09_11_2023
Hyundai Santa Fe,2009 г.,$ 10 500,автомат,серебристый,внедорожник 5 дв.,2,дизель,руль слева,288 000 км,Бишкек,https://www.mashina.kg/details/hyundai-santa-fe-64fdeae388af1329260099,09_11_2023
Hyundai Sonata,2018 г.,$ 14 700,автомат,серый,седан,2,бензин,руль слева,81 400 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdea9537569706176752,09_11_2023
Toyota Camry,2017 г.,$ 15 900,автомат,серебристый,седан,2.5,бензин,руль слева,758 968 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fd66ccc7b2f515744815,09_11_2023
Kia Morning,2016 г.,$ 9 000,автомат,белый,хэтчбек 5 дв.,1,бензин,руль слева,85 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fdea246b201814724575,09_11_2023
Honda Accord,2003 г.,$ 8 264,автомат,серебристый,седан,2.4,бензин,руль слева,225 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fde733a45d1643998802,09_11_2023
Subaru Legacy,2003 г.,$ 7 900,автомат,серебристый,универсал,2.5,бензин,руль справа,225 264 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64fde6ae80598044275573,09_11_2023
Honda Accord,2008 г.,$ 7 800,механика,белый,седан,2.4,бензин,руль слева,276 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fde62bd04c7327517926,09_11_2023
Toyota Prius,2008 г.,$ 8 500,автомат,белый,хэтчбек 5 дв.,1.5,гибрид,руль слева,282 177 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fd29eb737be512239748,09_11_2023
Kia Sportage,2017 г.,$ 19 000,автомат,белый,внедорожник 5 дв.,2,дизель,руль слева,119 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fde5b8038ca110402531,09_11_2023
Honda Fit,2004 г.,$ 5 886,вариатор,белый,хэтчбек 5 дв.,1.3,бензин,руль справа,315 480 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fde4df36aed641014900,09_11_2023
Honda Fit,2004 г.,$ 7 000,вариатор,серебристый,хэтчбек 5 дв.,1.3,бензин,руль справа,193 310 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fde1df45152776091062,09_11_2023
Toyota Estima,2003 г.,$ 10 754,автомат,серый,минивэн,2.4,бензин,руль справа,160 300 км,Бишкек,https://www.mashina.kg/details/toyota-estima-64fde0a27af32407688907,09_11_2023
Hyundai Sonata,2019 г.,$ 14 000,автомат,серебристый,седан,2,газ,руль слева,133 254 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fde09abf886859185684,09_11_2023
Toyota Corolla,2017 г.,$ 9 500,вариатор,белый,седан,1.5,гибрид,руль слева,82 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-64fe9d69bb1cc053611036,09_11_2023
Subaru Outback,2004 г.,$ 8 400,автомат,серебристый,седан,3,бензин,руль справа,236 895 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fe9d59dd9bf423944267,09_11_2023
Toyota Camry,2004 г.,$ 8 600,автомат,черный,седан,2.4,бензин,руль справа,270 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe9c7fd4822428121971,09_11_2023
Honda CR-V,2004 г.,$ 9 000,механика,черный,внедорожник 5 дв.,2,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fe9c7b82ef6648662009,09_11_2023
Mazda Atenza,2003 г.,$ 6 800,автомат,белый,универсал,2.3,бензин,руль справа,190 000 км,Бишкек,https://www.mashina.kg/details/mazda-atenza-64fda84e490a7420024051,09_11_2023
Subaru Forester,2003 г.,$ 6 500,автомат,вишня,универсал,2,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fe9beb46989466969459,09_11_2023
Toyota Prius,2017 г.,$ 19 500,вариатор,серебристый,лифтбек,1.8,гибрид,руль слева,259 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fd4921a8d04430185099,09_11_2023
Toyota Camry (Japan),2004 г.,$ 10 600,автомат,серебристый,седан,2.4,бензин,руль справа,264 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-japan-64fe9b626f54b352699911,09_11_2023
Hyundai Sonata,2019 г.,$ 18 900,автомат,белый,седан,2,бензин / газ,руль слева,159 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdc33e837c4884124559,09_11_2023
Honda Civic,2009 г.,$ 7 018,вариатор,черный,седан,1.3,гибрид,руль слева,264 000 км,Бишкек,https://www.mashina.kg/details/honda-civic-64fdbb771d285920313280,09_11_2023
Lexus RX,2008 г.,$ 18 500,автомат,серый,внедорожник 5 дв.,3.5,бензин,руль слева,161 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fd480dafda5777724477,09_11_2023
Honda Accord,2003 г.,$ 8 200,автомат,серый,седан,2,бензин,руль справа,178 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fe9aa911621281464066,09_11_2023
Toyota RAV4,2015 г.,$ 18 500,автомат,серый,внедорожник 5 дв.,2.5,бензин,руль слева,70 111 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-64fd9ba937d38388722593,09_11_2023
Toyota Camry,2017 г.,$ 19 500,автомат,белый,седан,2.5,бензин,руль слева,26 888 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fd99d9a53a7649851060,09_11_2023
Kia K7,2018 г.,$ 19 500,автомат,хамелеон,седан,2.4,бензин,руль слева,157 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fe9a0db01d8980055452,09_11_2023
Kia Morning,2021 г.,$ 13 300,автомат,белый,хэтчбек 5 дв.,1,бензин,руль слева,21 378 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fe9982ed6b4410524224,09_11_2023
Hyundai Sonata,2017 г.,$ 14 600,автомат,белый,седан,2,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdfcd969ca1619992406,09_11_2023
Hyundai Getz,2003 г.,$ 5 500,автомат,серый,хэтчбек 5 дв.,1.3,бензин,руль слева,285 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-64fe988732b6f372362676,09_11_2023
Toyota Raum,2004 г.,$ 8 600,автомат,золотистый,компактвэн,1.5,бензин,руль справа,92 000 км,Бишкек,https://www.mashina.kg/details/toyota-raum-64fe98433ca70510294949,09_11_2023
Subaru Outback,2004 г.,$ 8 100,автомат,серебристый,универсал,2.5,бензин,руль справа,350 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fe97f9ed6bd149262646,09_11_2023
Toyota Windom,2004 г.,$ 8 500,автомат,синий,седан,3,бензин,руль справа,235 000 км,Бишкек,https://www.mashina.kg/details/toyota-windom-64fd3e9219ba2752185962,09_11_2023
Subaru Legacy,2005 г.,$ 7 500,автомат,серебристый,универсал,2,бензин,руль справа,280 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64fe9c01f0107611468099,09_11_2023
Hyundai Sonata,2014 г.,$ 10 500,автомат,черный,седан,2,газ,руль слева,202 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fedc37de6b3559994259,09_11_2023
Toyota Alphard,2006 г.,$ 14 500,автомат,белый,минивэн,3,бензин,руль справа,160 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fedc2a8b849878323059,09_11_2023
Honda Elysion,2005 г.,$ 10 200,автомат,серебристый,минивэн,3,бензин,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/honda-elysion-64fedbf086687691168992,09_11_2023
Honda Jazz,2008 г.,$ 8 150,вариатор,синий,хэтчбек 5 дв.,1.3,бензин,руль слева,340 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-64fedbc7b8048882166441,09_11_2023
Hyundai Grandeur,2018 г.,$ 15 600,автомат,черный,седан,3,газ,руль слева,198 000 км,Бишкек,https://www.mashina.kg/details/hyundai-grandeur-64feda678bda7982938862,09_11_2023
Toyota Camry,2003 г.,$ 8 999,автомат,белый,седан,2.4,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/toyota-camry-64feda405d25c819838856,09_11_2023
Toyota Camry,2015 г.,$ 17 800,автомат,хамелеон,седан,2.5,бензин,руль слева,82 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64feda23e86e6945300535,09_11_2023
Toyota Camry,2016 г.,$ 14 800,вариатор,белый,седан,2.5,гибрид,руль слева,153 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fed94b8f05c031452679,09_11_2023
Toyota Camry,2003 г.,$ 7 900,автомат,черный,седан,2.4,бензин,руль слева,350 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe716e9d6ec832987973,09_11_2023
Kia K5 II Седан,2018 г.,$ 14 500,автомат,серебристый,седан,2,газ,руль слева,19 500 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fed93c0190d373727294,09_11_2023
Nissan Primera,2003 г.,$ 4 075,автомат,серебристый,седан,1.8,бензин,руль справа,270 000 км,Бишкек,https://www.mashina.kg/details/nissan-primera-64fed8d492158048849401,09_11_2023
Honda Stepwgn,2003 г.,$ 11 700,автомат,серебристый,минивэн,2,бензин,руль слева,145 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64fd6f0631747042045651,09_11_2023
Subaru Legacy,2003 г.,$ 7 358,автомат,белый,седан,2,бензин,руль справа,285 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64fdc0dda2dae967351557,09_11_2023
BMW 5 серии,2003 г.,$ 7 500,автомат,черный,универсал,2.2,бензин,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-64fd9efd73400433998914,09_11_2023
Kia Morning,2021 г.,$ 9 900,автомат,белый,хэтчбек 5 дв.,1,бензин,руль слева,25 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fd63ed46211410083708,09_11_2023
