make_model,year,price_usd,price_som,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link
BYD F3,2008 г.,$ 4 500,392 985 сом,механика,синий,седан,1.6,бензин,руль слева,325 952 км,Бишкек,https://www.mashina.kg/details/byd-f3-63e7a4f53df57588656715
Subaru Legacy,2005 г.,$ 8 500,742 305 сом,автомат,синий,седан,2,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-63e728366d89f954073051
Hyundai Sonata,2017 г.,$ 15 000,1 309 950 сом,,белый,седан,автомат,газ,руль слева,87 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e7646d2802a190384417
Toyota Prius,2014 г.,$ 13 900,1 213 887 сом,автомат,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль слева,140 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e79f67b1c6e552718623
Honda CR-V,2005 г.,$ 10 500,916 965 сом,автомат,черный,внедорожник 5 дв.,2.4,бензин,руль слева,265 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e79c9624ea6071100792
Honda CR-V,2008 г.,$ 13 000,1 135 290 сом,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e796ed9ff64401533603
Toyota Camry,2010 г.,$ 11 800,1 030 494 сом,автомат,серебристый,седан,2.5,бензин,руль слева,24 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e6f58f55617682017687
Kia K5 II Седан,2016 г.,$ 12 000,1 047 960 сом,автомат,серебристый,седан,2,газ,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e79677bbe53058006206
Kia K5 II Седан,2017 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2,бензин,руль слева,162 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e795a1143d7442742757
Mercedes-Benz E-класс,2005 г.,$ 7 600,663 708 сом,автомат,серебристый,седан,2.1,дизель,руль слева,25 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-63e793e5ea1c9459203026
Kia K7,2012 г.,$ 13 800,1 205 154 сом,автомат,белый,седан,3,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-63e775183d322992820465
Toyota Camry,2010 г.,$ 13 500,1 178 955 сом,автомат,серый,седан,2.5,бензин,руль слева,192 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e7749e840be025285475
Kia Rio,2015 г.,$ 6 700,585 111 сом,механика,черный,хэтчбек 5 дв.,1.4,бензин,руль слева,169 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-63e75f9e54090029455448
Mercedes-Benz E-класс,2007 г.,$ 15 000,1 309 950 сом,автомат,белый,седан,3.5,бензин,руль слева,241 750 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-63e77313cfd37019092977
BMW 5 Серия,2006 г.,$ 7 300,637 509 сом,автомат,серый,седан,2.5,бензин,руль слева,1 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-seriya-63e772a542425923758415
Toyota Camry,2012 г.,$ 15 000,1 309 950 сом,автомат,серебристый,седан,2.5,бензин,руль слева,99 999 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e76cd922355843335028
Toyota Prius,2013 г.,$ 13 200,1 152 756 сом,автомат,белый,хэтчбек 5 дв.,1.8,гибрид,руль слева,86 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e7482561009178983141
Toyota Camry,2008 г.,$ 10 500,916 965 сом,автомат,серебристый,седан,3.5,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e76c4537bd2751982649
Toyota Corolla,2005 г.,$ 8 800,768 504 сом,механика,серебристый,универсал,1.6,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-63e76a263e090534211843
Infiniti EX,2008 г.,$ 12 700,1 109 091 сом,автомат,белый,внедорожник 5 дв.,3.5,бензин,руль слева,235 000 км,Бишкек,https://www.mashina.kg/details/infiniti-ex-63e769ac8f643834944906
Honda Stepwgn,2008 г.,$ 11 000,960 630 сом,автомат,белый,минивэн,2,бензин,руль справа,225 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-63e76879390f7020503123
Subaru Outback,2011 г.,$ 12 900,1 126 557 сом,вариатор,серебристый,универсал,2.5,бензин,руль слева,182 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e76728e2a04134854464
Subaru Outback,2009 г.,$ 11 900,1 039 227 сом,вариатор,серый,универсал,2.5,бензин,руль слева,164 900 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e76692451bb757255052
Kia Ceed,2017 г.,$ 10 700,934 431 сом,автомат,бронза,универсал,1.6,бензин,руль слева,192 000 км,Бишкек,https://www.mashina.kg/details/kia-ceed-63e76609d08b0714118598
Mercedes-Benz S-класс,2008 г.,$ 15 000,1 309 950 сом,автомат,белый,седан,5.5,бензин,руль слева,261 404 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-63e7597e43f30166585004
Honda CR-V,2008 г.,$ 13 200,1 152 756 сом,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль слева,208 523 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e735387e4a5937403205
Toyota Camry,2011 г.,$ 14 000,1 222 620 сом,автомат,серый,седан,2.5,бензин,руль слева,180 156 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e75911d4fa3135129378
Hyundai Sonata,2017 г.,$ 14 700,1 283 751 сом,,белый,седан,автомат,газ,руль слева,230 150 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e753145d127780205455
Kia K5 II Седан,2016 г.,$ 14 200,1 240 086 сом,автомат,белый,седан,2,газ,руль слева,158 659 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e74c97315fe056253570
Honda CR-V,2006 г.,$ 11 000,960 630 сом,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль справа,212 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e74c8b0ea52704220198
Honda Stepwgn,2005 г.,$ 13 000,1 135 290 сом,автомат,белый,минивэн,2,бензин,руль справа,126 700 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-63e7283c68968698123087
Hyundai Sonata,2018 г.,$ 14 900,1 301 217 сом,,белый,седан,автомат,газ,руль слева,,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e723ee1644f089656930
Honda Fit,2008 г.,$ 8 600,751 038 сом,автомат,серый,хэтчбек 5 дв.,1.5,бензин,руль слева,108 565 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e7210ec6b90034515294
Kia K5 II Седан,2016 г.,$ 14 200,1 240 086 сом,автомат,белый,седан,2,газ,руль слева,114 500 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e71f80396bf706737919
Toyota Camry,2005 г.,$ 10 500,916 965 сом,автомат,черный,седан,2.4,бензин,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e71dba4ec7d514624622
Hyundai Sonata,2016 г.,$ 11 200,978 096 сом,автомат,серебристый,седан,2,газ,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e71aa4e006d032479670
Subaru Forester,2010 г.,$ 11 800,1 030 494 сом,автомат,зеленый,внедорожник 5 дв.,2.5,бензин,руль слева,136 400 км,Бишкек,https://www.mashina.kg/details/subaru-forester-63e7183f93bc5569742311
Mercedes-Benz GL-класс,2007 г.,$ 12 800,1 117 824 сом,автомат,черный,внедорожник 5 дв.,5.5,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-gl-klass-63e711c361fc9118536333
Toyota Alphard,2005 г.,$ 14 000,1 222 620 сом,автомат,белый,минивэн,3,бензин,руль справа,168 370 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-63e69b2beaae6625060594
Toyota Camry,2005 г.,$ 9 161,800 000 сом,автомат,синий,седан,2.4,бензин,руль слева,215 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e701f4892c8871696117
Mercedes-Benz S-класс,2006 г.,$ 11 000,960 630 сом,автомат,черный,седан,3.5,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-63e6f87d62974075984894
Honda Accord,2005 г.,$ 8 500,742 305 сом,автомат,серый,седан,2,бензин,руль справа,277 176 км,Бишкек,https://www.mashina.kg/details/honda-accord-63e686973f6fb967434296
Hyundai Sonata,2015 г.,$ 12 200,1 065 426 сом,автомат,серебристый,седан,2,газ,руль слева,188 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e79312211c9283595537
Hyundai Sonata,2016 г.,$ 14 500,1 266 285 сом,автомат,черный,седан,2,газ,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e792c8f1731777890249
Citroen DS3,2013 г.,$ 9 000,785 970 сом,автомат,белый,хэтчбек 3 дв.,1.6,бензин,руль слева,45 000 км,Бишкек,https://www.mashina.kg/details/citroen-ds3-63e789db1811f531977068
Toyota Land Cruiser Prado,2005 г.,$ 12 500,1 091 625 сом,автомат,серебристый,внедорожник 5 дв.,3,дизель,руль слева,235 869 км,Бишкек,https://www.mashina.kg/details/toyota-land-cruiser-prado-63e7888ca8896150682098
Hyundai Sonata,2017 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2,газ,руль слева,81 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e7859fef992522066355
Toyota Prius,2015 г.,$ 13 999,1 222 533 сом,автомат,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль слева,88 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e7212f87842005695081
Honda Fit,2010 г.,$ 9 800,855 834 сом,вариатор,белый,хэтчбек 5 дв.,1.5,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e780bb308bd673623125
Hyundai Sonata,2017 г.,$ 14 500,1 266 285 сом,,белый,седан,автомат,газ,руль слева,118 300 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e78077bc8ae771641827
Hyundai Getz,2009 г.,$ 6 800,593 844 сом,автомат,серебристый,хэтчбек 3 дв.,1.4,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-63e78005e3ea1778094485
Toyota Camry,2013 г.,$ 14 500,1 266 285 сом,автомат,голубой,седан,2.5,бензин,руль слева,109 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e77df73b76c037363189
Daewoo Nexia,2012 г.,$ 5 611,490 000 сом,механика,белый,седан,1.5,бензин,руль слева,126 000 км,Бишкек,https://www.mashina.kg/details/daewoo-nexia-63e76fe32dee4787482902
Hyundai Sonata,2018 г.,$ 14 600,1 275 018 сом,,серебристый,седан,автомат,газ,руль слева,153 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e77d610b6ec789136336
Mitsubishi Pajero,2008 г.,$ 15 000,1 309 950 сом,механика,белый,внедорожник 5 дв.,3.2,дизель,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/mitsubishi-pajero-63e77d5378fd0255859298
Mitsubishi Lancer,2006 г.,$ 4 122,360 000 сом,автомат,серый,седан,1.6,бензин,руль слева,214 116 км,Бишкек,https://www.mashina.kg/details/mitsubishi-lancer-63e77c2513db2785844798
Hyundai Sonata,2017 г.,$ 14 500,1 266 285 сом,автомат,серебристый,седан,2,газ,руль слева,151 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e77b5f99862704178753
Subaru Impreza,2005 г.,$ 5 600,489 048 сом,автомат,белый,универсал,1.5,бензин,руль справа,287 000 км,Бишкек,https://www.mashina.kg/details/subaru-impreza-63e77b48a82c2373712906
Hyundai Sonata,2017 г.,$ 13 850,1 209 521 сом,автомат,белый,седан,2,газ,руль слева,235 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e77a0f4d3ca388806032
Renault Logan,2018 г.,$ 8 016,700 000 сом,механика,белый,седан,1.6,бензин,руль слева,256 000 км,Бишкек,https://www.mashina.kg/details/renault-logan-63e77876d0054324606949
Subaru Forester,2010 г.,$ 12 111,1 057 654 сом,автомат,серый,внедорожник 5 дв.,2.5,бензин,руль слева,107 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-63e7784dce861353677058
Mercedes-Benz GL-класс,2006 г.,$ 11 200,978 096 сом,автомат,черный,внедорожник 5 дв.,4.7,бензин,руль слева,210 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-gl-klass-63e775ac9090f667529624
Hyundai Elantra,2017 г.,$ 14 500,1 266 285 сом,автомат,красный,седан,2,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e7495b7690c038648232
Subaru Outback,2006 г.,$ 10 500,916 965 сом,автомат,серый,универсал,2.5,бензин,руль справа,216 500 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e74915737ca582906506
ВАЗ (Lada) 2121 (4x4) Нива,2007 г.,$ 5 000,436 650 сом,механика,белый,внедорожник 3 дв.,1.7,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/vaz-lada-2121-4x4-niva-63e748aeb9acb585272045
Hyundai Elantra,2017 г.,$ 14 500,1 266 285 сом,автомат,бордовый,седан,2,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e745878077b022118978
Toyota Prius,2011 г.,$ 7 500,654 975 сом,автомат,белый,хэтчбек 5 дв.,1.8,гибрид,руль справа,169 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e7451625b6f430006979
Toyota Camry,2012 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2.5,бензин,руль слева,115 731 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e7448094b8d130848495
Toyota Camry,2005 г.,$ 8 200,716 106 сом,автомат,черный,седан,2.4,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e743d61ff1d569367493
Kia Morning,2018 г.,$ 10 300,899 499 сом,автомат,белый,хэтчбек 5 дв.,1,бензин / газ,руль слева,156 400 км,Бишкек,https://www.mashina.kg/details/kia-morning-63e741f8b96df816654633
Honda Stepwgn,2005 г.,$ 10 400,908 232 сом,автомат,белый,минивэн,2,бензин,руль справа,219 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-63e741777528a712875092
Chevrolet Malibu,2012 г.,$ 10 500,916 965 сом,автомат,серый,седан,2.4,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-malibu-63e74117c209d310175840
Hyundai Elantra,2016 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e740726f247640925304
Honda Fit,2008 г.,$ 9 000,785 970 сом,вариатор,белый,хэтчбек 5 дв.,1.3,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/honda-fit-63e73a7fe1bab761078285
Kia Rio,2017 г.,$ 9 200,803 436 сом,механика,белый,хэтчбек 5 дв.,1.2,бензин,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-63e739330e3c9904770178
Toyota Corolla,2014 г.,$ 12 700,1 109 091 сом,вариатор,серый,седан,1.8,бензин,руль слева,109 250 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-63e73615a5e2f353227422
Mercedes-Benz S-класс,2006 г.,$ 13 500,1 178 955 сом,автомат,черный,седан,3.5,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-63e735b9a96cb161501891
Honda CR-V,2005 г.,$ 7 200,628 776 сом,автомат,зеленый,внедорожник 5 дв.,2,бензин,руль слева,258 832 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e7331b92ff6061558415
ВАЗ (Lada) 2107,2007 г.,$ 4 294,375 000 сом,механика,белый,седан,1.6,бензин,руль слева,68 500 км,Бишкек,https://www.mashina.kg/details/vaz-lada-2107-63e7325416fd5908432399
Mitsubishi Pajero,2005 г.,$ 11 300,986 829 сом,автомат,серебристый,внедорожник 5 дв.,3.2,дизель,руль слева,400 000 км,Бишкек,https://www.mashina.kg/details/mitsubishi-pajero-63e7311ab877d071532209
Lexus ES,2009 г.,$ 14 200,1 240 086 сом,автомат,серебристый,седан,3.5,бензин,руль слева,171 000 км,Бишкек,https://www.mashina.kg/details/lexus-es-63e72de4365c7803708084
Toyota Wish,2005 г.,$ 7 800,681 174 сом,автомат,серебристый,компактвэн,1.8,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/toyota-wish-63e72a43f25ca793728887
