make_model,year,price_usd,price_som,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link
Toyota Camry,2010 г.,$ 13 500,1 178 955 сом,автомат,серебристый,седан,3.5,бензин,руль слева,232 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e793460f5f1582525510
Toyota Camry,2014 г.,$ 14 000,1 222 620 сом,автомат,серый,седан,2.5,бензин,руль слева,154 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e772719fdfe440127315
Chevrolet Spark,2016 г.,$ 7 800,681 174 сом,вариатор,синий,хэтчбек 5 дв.,1,бензин,руль слева,174 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-63e73d2f4d2ba190752611
Hyundai Sonata,2018 г.,$ 14 500,1 266 285 сом,,серебристый,седан,автомат,газ,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e72f36d7713978138170
Kia Morning,2018 г.,$ 10 000,873 300 сом,автомат,белый,хэтчбек 5 дв.,1,бензин / газ,руль слева,68 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-63e715e9e9838083967067
Honda Fit,2017 г.,$ 12 700,1 109 091 сом,вариатор,белый,хэтчбек 5 дв.,1.5,бензин,руль слева,98 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e7ac8f97b68506828865
Hyundai Sonata,2015 г.,$ 13 000,1 135 290 сом,автомат,белый,седан,2,газ,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e69f1f02f59007180237
Honda Fit,2011 г.,$ 8 800,768 504 сом,автомат,голубой,хэтчбек 5 дв.,1.5,бензин,руль справа,140 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e7abaca4d9e885013875
Mercedes-Benz S-класс,2007 г.,$ 15 000,1 309 950 сом,автомат,черный,седан,5.5,бензин,руль слева,206 111 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-63e7ab7984887844892353
Kia Morning,2016 г.,$ 9 200,803 436 сом,автомат,бежевый,хэтчбек 5 дв.,1,бензин,руль слева,118 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-63e76c6960fbb792078729
Toyota Camry,2005 г.,$ 10 500,916 965 сом,автомат,белый,седан,2.4,бензин,руль слева,225 800 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e734927b85c979935025
Honda CR-V,2006 г.,$ 12 800,1 117 824 сом,автомат,черный,внедорожник 5 дв.,2.4,бензин,руль слева,343 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e7a61e432f5135878092
Toyota Crown,2007 г.,$ 9 300,812 169 сом,автомат,серебристый,седан,3.5,бензин,руль справа,177 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-63e7a6084650b336672555
